Date,TempAvg
2021-01-01,73.3
2021-01-02,72.1
2021-01-03,64.5
2021-01-04,56.4
2021-01-05,58.0
2021-01-06,56.2
2021-01-07,62.7
2021-01-08,61.2
2021-01-09,53.4
2021-01-10,48.9
2021-01-11,62.0
2021-01-12,60.9
2021-01-13,53.8
2021-01-14,57.3
2021-01-15,60.1
2021-01-16,58.3
2021-01-17,57.8
2021-01-18,57.7
2021-01-19,55.6
2021-01-20,58.8
2021-01-21,60.0
2021-01-22,65.4
2021-01-23,67.6
2021-01-24,67.8
2021-01-25,68.5
2021-01-26,68.2
2021-01-27,69.1
2021-01-28,61.1
2021-01-29,54.6
2021-01-30,61.3
2021-01-31,66.8
2021-02-01,61.2
2021-02-02,50.3
2021-02-03,51.3
2021-02-04,53.5
2021-02-05,62.2
2021-02-06,68.6
2021-02-07,66.5
2021-02-08,66.9
2021-02-09,70.9
2021-02-10,70.0
2021-02-11,71.7
2021-02-12,72.5
2021-02-13,71.7
2021-02-14,71.3
2021-02-15,73.6
2021-02-16,64.8
2021-02-17,64.7
2021-02-18,74.2
2021-02-19,66.4
2021-02-20,56.5
2021-02-21,63.7
2021-02-22,69.1
2021-02-23,68.2
2021-02-24,64.8
2021-02-25,68.2
2021-02-26,72.8
2021-02-27,76.1
2021-02-28,75.9
2021-03-01,75.8
2021-03-02,75.3
2021-03-03,66.9
2021-03-04,63.4
2021-03-05,65.0
2021-03-06,63.0
2021-03-07,60.0
2021-03-08,60.6
2021-03-09,65.3
2021-03-10,67.8
2021-03-11,71.0
2021-03-12,70.6
2021-03-13,70.5
2021-03-14,71.0
2021-03-15,72.9
2021-03-16,74.4
2021-03-17,74.5
2021-03-18,74.0
2021-03-19,65.2
2021-03-20,62.5
2021-03-21,57.7
2021-03-22,64.0
2021-03-23,66.9
2021-03-24,69.9
2021-03-25,76.3
2021-03-26,77.2
2021-03-27,79.0
2021-03-28,78.1
2021-03-29,77.3
2021-03-30,77.6
2021-03-31,78.3
2021-04-01,71.1
2021-04-02,59.5
2021-04-03,61.9
2021-04-04,65.1
2021-04-05,68.2
2021-04-06,69.8
2021-04-07,71.8
2021-04-08,73.0
2021-04-09,74.7
2021-04-10,71.8
2021-04-11,68.3
2021-04-12,73.4
2021-04-13,75.0
2021-04-14,77.5
2021-04-15,75.7
2021-04-16,76.1
2021-04-17,78.5
2021-04-18,77.6
2021-04-19,73.0
2021-04-20,73.3
2021-04-21,76.0
2021-04-22,71.1
2021-04-23,73.9
2021-04-24,78.0
2021-04-25,78.3
2021-04-26,76.7
2021-04-27,78.4
2021-04-28,77.9
2021-04-29,79.2
2021-04-30,78.7
2021-05-01,79.8
2021-05-02,80.3
2021-05-03,82.0
2021-05-04,83.3
2021-05-05,83.1
